x,y
17.04,80.34
24.66,78.99
14.74,79.55
16.82,81.61
20.80,77.17
17.15,76.19
19.53,84.04
15.08,89.62
20.47,80.21
30.63,81.46
19.79,81.65
23.00,77.41
29.29,84.44
26.10,81.38
24.35,78.74
21.16,72.41
14.83,71.99
24.19,75.99
11.52,76.11
18.13,82.27
21.92,81.96
15.66,78.63
14.63,81.51
20.63,81.47
22.73,81.27
18.32,78.07
13.13,83.54
21.27,74.31
20.33,80.52
19.86,80.22
13.42,86.47
13.59,88.20
22.58,79.28
19.46,78.93
17.82,75.59
19.80,81.27
2.46,82.40
23.62,79.42
23.31,87.49
12.66,87.91
29.19,88.14
19.80,78.67
17.53,86.17
24.53,75.56
21.57,81.30
31.07,77.94
21.38,80.92
16.18,86.01
18.22,74.69
21.41,81.67
24.46,82.96
12.91,74.65
16.03,75.31
13.05,82.39
27.98,79.59
13.52,76.81
14.61,82.08
24.92,80.68
18.77,73.84
19.53,78.71
26.46,76.49
16.87,77.14
21.26,68.68
14.70,81.64
29.53,83.81
12.34,80.18
17.58,84.74
17.34,75.41
14.07,85.47
13.95,84.17
16.78,83.07
15.80,81.58
21.59,85.75
15.21,80.58
22.06,79.17
23.35,75.46
15.70,83.78
13.55,77.08
24.02,85.90
17.89,81.22
15.25,81.22
28.23,90.33
17.32,84.86
15.58,81.66
21.79,81.57
25.64,79.46
13.67,84.82
20.91,80.20
13.87,87.38
21.62,78.76
19.99,82.67
16.22,79.67
16.40,87.35
12.63,81.58
27.78,82.26
16.27,85.28
22.74,78.50
22.27,82.06
15.78,82.31
16.50,84.42
